id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2019-1494197,2019-01-04,000001,Vente,112000,56,,AV EUDOXIE NONGE,0516,97490,97411,Saint-Denis,974,,,97411000BK0335,,,191,72.1,,,,,,,,,1,2,Appartement,72,4,,,,,,55.495226,-20.899
2019-1494197,2019-01-04,000001,Vente,112000,56,,AV EUDOXIE NONGE,0516,97490,97411,Saint-Denis,974,,,97411000BK0335,,,20,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.495226,-20.899
2019-1494197,2019-01-04,000001,Vente,112000,56,,AV EUDOXIE NONGE,0516,97490,97411,Saint-Denis,974,,,97411000BK0335,,,21,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.495226,-20.899
2019-1494198,2019-01-03,000001,Vente,53000,16,,ALL DES PRIMEVERES,1153,97490,97411,Saint-Denis,974,,,97411000HR0033,,,127,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.487724,-20.910966
2019-1494198,2019-01-03,000001,Vente,53000,16,,ALL DES PRIMEVERES,1153,97490,97411,Saint-Denis,974,,,97411000HR0033,,,72,38.12,,,,,,,,,1,2,Appartement,38,2,,,,,,55.487724,-20.910966
2019-1494199,2019-01-04,000001,Vente,155000,,,LE GRAND COIN,B130,97419,97408,La Possession,974,,,97408000AY0360,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,79,55.393337,-20.983273
2019-1494199,2019-01-04,000001,Vente,155000,47,,RUE DE LA PETITE SOURCE,0303,97419,97408,La Possession,974,,,97408000AY0367,,,,,,,,,,,,,0,1,Maison,107,3,AB,terrains a bâtir,,,521,55.393102,-20.983193
2019-1494200,2019-01-07,000002,Vente,155000,1,,CHE DES PECHERS,1094,97490,97411,Saint-Denis,974,,,97411000HI0597,,,,,,,,,,,,,0,1,Maison,64,4,S,sols,,,750,,
2019-1494200,2019-01-07,000002,Vente,155000,1,,CHE DES PECHERS,1094,97490,97411,Saint-Denis,974,,,97411000HI0597,,,,,,,,,,,,,0,1,Maison,95,4,S,sols,,,750,,
2019-1494201,2019-01-07,000001,Vente,310000,7,,PARC D ACTIVITE DE LA MARE,A124,97438,97418,Sainte-Marie,974,,,97418000AC1460,,,59,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,15,0,,,,,,55.530375,-20.899945
2019-1494201,2019-01-07,000001,Vente,310000,9,,PARC D ACTIVITE DE LA MARE,A124,97438,97418,Sainte-Marie,974,,,97418000AC1460,,,11,208.65,,,,,,,,,1,4,Local industriel. commercial ou assimilé,210,0,,,,,,55.530375,-20.899945
2019-1494201,2019-01-07,000001,Vente,310000,7,,PARC D ACTIVITE DE LA MARE,A124,97438,97418,Sainte-Marie,974,,,97418000AC1460,,,58,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,15,0,,,,,,55.530375,-20.899945
2019-1494202,2019-01-11,000001,Vente,33000,118,,CHE DE BOIS ROUGE,0197,97490,97411,Saint-Denis,974,,,97411000ID0002,,,1265,24.06,,,,,,,,,1,2,Appartement,24,1,,,,,,55.486633,-20.923917
2019-1494202,2019-01-11,000001,Vente,33000,118,,CHE DE BOIS ROUGE,0197,97490,97411,Saint-Denis,974,,,97411000ID0002,,,1011,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.486633,-20.923917
2019-1494203,2019-01-11,000001,Vente,159500,18,C,ALL DES CORINDONS,0366,97400,97411,Saint-Denis,974,,,97411000EN0061,,,189,,,,,,,,,,1,2,Appartement,73,4,,,,,,55.444988,-20.902814
2019-1494203,2019-01-11,000001,Vente,159500,18,C,ALL DES CORINDONS,0366,97400,97411,Saint-Denis,974,,,97411000EN0061,,,77,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.444988,-20.902814
2019-1494203,2019-01-11,000001,Vente,159500,18,C,ALL DES CORINDONS,0366,97400,97411,Saint-Denis,974,,,97411000EN0061,,,78,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.444988,-20.902814
2019-1494204,2019-01-08,000001,Vente,450230,6,,RUE DES BAIES ROSES,0052,97419,97408,La Possession,974,,,97408000BK0035,,,,,,,,,,,,,0,1,Maison,115,4,S,sols,,,469,55.347106,-20.927961
2019-1494204,2019-01-08,000001,Vente,450230,8,,RUE DES BAIES ROSES,0052,97419,97408,La Possession,974,,,97408000BK0036,,,,,,,,,,,,,0,,,,,S,sols,,,553,55.347142,-20.927826
2019-1494205,2019-01-10,000001,Vente,316000,23,,IMP LUCIE DE SIGOYER,1873,97460,97415,Saint-Paul,974,,,97415000EY1771,,,,,,,,,,,,,0,1,Maison,83,4,AB,terrains a bâtir,,,346,55.264098,-21.018173
2019-1494206,2019-01-08,000002,Vente,92500,10,,LOT LES CANNES,A390,97470,97410,Saint-Benoît,974,,,97410000AC0651,,,,,,,,,,,,,0,1,Maison,94,4,S,sols,,,591,55.689967,-21.011889
2019-1494207,2019-01-16,000001,Vente,71500,113,T,CHE LORY LEBRETON    LA BRETAG,0784,97490,97411,Saint-Denis,974,,,97411000IZ0145,,,17,50.53,,,,,,,,,1,2,Appartement,45,1,,,,,,55.497555,-20.924958
2019-1494207,2019-01-16,000001,Vente,71500,113,T,CHE LORY LEBRETON    LA BRETAG,0784,97490,97411,Saint-Denis,974,,,97411000IZ0145,,,36,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.497555,-20.924958
2019-1494208,2019-01-02,000001,Vente,800000,36,,RUE GEORGES POMPIDOU,0684,97470,97410,Saint-Benoît,974,,,97410000AK0089,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,712,0,S,sols,,,1090,55.712172,-21.032296
2019-1494208,2019-01-02,000001,Vente,800000,36,,RUE GEORGES POMPIDOU,0684,97470,97410,Saint-Benoît,974,,,97410000AK0089,,,,,,,,,,,,,0,2,Appartement,163,1,S,sols,,,1090,55.712172,-21.032296
2019-1494208,2019-01-02,000001,Vente,800000,36,,RUE GEORGES POMPIDOU,0684,97470,97410,Saint-Benoît,974,,,97410000AK0089,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,673,0,S,sols,,,1090,55.712172,-21.032296
2019-1494209,2019-01-16,000001,Vente,33500,6,,IMP DES MANGOUSTANS,0817,97490,97411,Saint-Denis,974,,,97411000BD0138,,,1,29.22,,,,,,,,,1,2,Appartement,29,1,,,,,,55.479668,-20.893489
2019-1494209,2019-01-16,000001,Vente,33500,6,,IMP DES MANGOUSTANS,0817,97490,97411,Saint-Denis,974,,,97411000BD0138,,,13,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.479668,-20.893489
2019-1494210,2019-01-18,000001,Vente,63000,6,B,RUE RAYMOND MONDON,0328,97419,97408,La Possession,974,,,97408000BL0323,,,37,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.339284,-20.924919
2019-1494210,2019-01-18,000001,Vente,63000,6,B,RUE RAYMOND MONDON,0328,97419,97408,La Possession,974,,,97408000BL0323,,,16,32.89,,,,,,,,,1,2,Appartement,45,2,,,,,,55.339284,-20.924919
2019-1494211,2019-01-03,000002,Vente,750000,41,,RUE GABRIEL DE KERVEGUEN,0554,97490,97411,Saint-Denis,974,,,97411000BL0477,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,499,0,S,sols,,,2814,55.495416,-20.887159
2019-1494211,2019-01-03,000002,Vente,750000,41,,RUE GABRIEL DE KERVEGUEN,0554,97490,97411,Saint-Denis,974,,,97411000BL0477,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,,,S,sols,,,2814,55.495416,-20.887159
2019-1494211,2019-01-03,000002,Vente,750000,41,,RUE GABRIEL DE KERVEGUEN,0554,97490,97411,Saint-Denis,974,,,97411000BL0477,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,,0,S,sols,,,2814,55.495416,-20.887159
2019-1494212,2019-01-07,000001,Vente,140000,17,,CHE JONCTION   (TAMATAVE),0779,97435,97415,Saint-Paul,974,,,97415000CS0174,,,,,,,,,,,,,0,1,Maison,51,3,S,sols,,,357,55.265795,-21.049286
2019-1494213,2019-01-09,000001,Vente,119000,22,,RUE MARIE ESPARON,0519,97438,97418,Sainte-Marie,974,,,97418000AS1110,,,,,,,,,,,,,0,1,Maison,84,3,S,sols,,,309,55.531028,-20.921241
2019-1494214,2019-01-09,000001,Vente,331190,8,B,RUE DU MOULIN A VENT,0980,97400,97411,Saint-Denis,974,,,97411000AD0080,,,46,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.451254,-20.87447
2019-1494214,2019-01-09,000001,Vente,331190,8,B,RUE DU MOULIN A VENT,0980,97400,97411,Saint-Denis,974,,,97411000AD0080,,,26,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.451254,-20.87447
2019-1494214,2019-01-09,000001,Vente,331190,8,B,RUE DU MOULIN A VENT,0980,97400,97411,Saint-Denis,974,,,97411000AD0080,,,25,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.451254,-20.87447
2019-1494214,2019-01-09,000001,Vente,331190,8,B,RUE DU MOULIN A VENT,0980,97400,97411,Saint-Denis,974,,,97411000AD0080,,,87,103.26,,,,,,,,,1,2,Appartement,98,4,,,,,,55.451254,-20.87447
2019-1494215,2019-01-04,000001,Vente,280000,8,C,LOT LES TERRASSES SUR LE PORT,A152,97419,97408,La Possession,974,,,97408000AV1159,,,,,,,,,,,,,0,1,Maison,95,4,S,sols,,,417,55.345014,-20.964572
2019-1494216,2019-01-17,000001,Vente,38000,75,,CHE DE LA SOURCE        MOUFIA,1355,97490,97411,Saint-Denis,974,,,97411000HP0010,,,21,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.485744,-20.91669
2019-1494216,2019-01-17,000001,Vente,38000,75,,CHE DE LA SOURCE        MOUFIA,1355,97490,97411,Saint-Denis,974,,,97411000HP0010,,,3,26.44,,,,,,,,,1,2,Appartement,28,1,,,,,,55.485744,-20.91669
2019-1494217,2019-01-18,000001,Vente,500,5013,T,CD DE ST ANDRE A HELL,0120,97433,97421,Salazie,974,,,97421000BD0408,,,,,,,,,,,,,0,,,,,T,terres,,,52,55.523076,-21.061803
2019-1494218,2019-01-21,000001,Vente,45000,193,,AV MARCEL HOARAU,0847,97490,97411,Saint-Denis,974,,,97411000HP0064,,,2,37.58,,,,,,,,,1,2,Appartement,38,2,,,,,,55.484524,-20.91284
2019-1494218,2019-01-21,000001,Vente,45000,193,,AV MARCEL HOARAU,0847,97490,97411,Saint-Denis,974,,,97411000HP0064,,,102,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.484524,-20.91284
2019-1494219,2019-01-18,000001,Vente,190000,4,,RUE DES GIROFLIERS,0213,97412,97402,Bras-Panon,974,,,97402000AI0440,,,,,,,,,,,,,0,1,Maison,75,5,S,sols,,,452,55.685351,-21.004081
2019-1494220,2019-01-18,000001,Vente,44000,4,,ROC DE L OASIS,1194,97400,97411,Saint-Denis,974,,,97411000HB0281,,,16,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.467189,-20.898318
2019-1494220,2019-01-18,000001,Vente,44000,4,,ROC DE L OASIS,1194,97400,97411,Saint-Denis,974,,,97411000HB0281,,,126,26.97,,,,,,,,,1,2,Appartement,26,1,,,,,,55.467189,-20.898318
2019-1494221,2019-01-17,000001,Vente,123000,18,C,ALL DES CORINDONS,0366,97400,97411,Saint-Denis,974,,,97411000EN0061,,,212,61.42,,,,,,,,,1,2,Appartement,60,3,,,,,,55.444988,-20.902814
2019-1494221,2019-01-17,000001,Vente,123000,18,C,ALL DES CORINDONS,0366,97400,97411,Saint-Denis,974,,,97411000EN0061,,,102,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.444988,-20.902814
2019-1494222,2019-01-22,000001,Vente,162000,35,,CHE DES PAPAYES,1059,97490,97411,Saint-Denis,974,,,97411000KC0100,,,43,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.476702,-20.918871
2019-1494222,2019-01-22,000001,Vente,162000,35,,CHE DES PAPAYES,1059,97490,97411,Saint-Denis,974,,,97411000KC0100,,,58,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.476702,-20.918871
2019-1494222,2019-01-22,000001,Vente,162000,35,,CHE DES PAPAYES,1059,97490,97411,Saint-Denis,974,,,97411000KC0100,,,73,50.48,74,38.37,,,,,,,2,2,Appartement,88,5,,,,,,55.476702,-20.918871
2019-1494223,2019-01-23,000001,Vente,110000,21,B,RUE DE LA DIGUE,0428,97400,97411,Saint-Denis,974,,,97411000AK0010,,,47,42.16,,,,,,,,,1,2,Appartement,44,2,,,,,,55.444058,-20.887574
2019-1494223,2019-01-23,000001,Vente,110000,21,,RUE DE LA DIGUE,0428,97400,97411,Saint-Denis,974,,,97411000AK0010,,,101,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.444058,-20.887574
2019-1494224,2019-01-23,000001,Vente,79000,55,,CHE COMMINS,0359,97417,97411,Saint-Denis,974,,,97411000EL0460,,,211,12.43,,,,,,,,,1,3,Dépendance,,0,,,,,,55.407749,-20.890099
2019-1494224,2019-01-23,000001,Vente,79000,55,,CHE COMMINS,0359,97417,97411,Saint-Denis,974,,,97411000EL0460,,,89,35.08,,,,,,,,,1,2,Appartement,35,2,,,,,,55.407749,-20.890099
2019-1494225,2019-01-23,000001,Vente,208000,3,,RUE FLEUR DE JADE,0451,97438,97418,Sainte-Marie,974,,,97418000AS0839,,,34,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.529786,-20.917632
2019-1494225,2019-01-23,000001,Vente,208000,3,,RUE FLEUR DE JADE,0451,97438,97418,Sainte-Marie,974,,,97418000AS0839,,,35,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.529786,-20.917632
2019-1494225,2019-01-23,000001,Vente,208000,3,,RUE FLEUR DE JADE,0451,97438,97418,Sainte-Marie,974,,,97418000AS0839,,,19,95.28,,,,,,,,,1,2,Appartement,96,4,,,,,,55.529786,-20.917632
2019-1494226,2019-01-23,000001,Vente,349000,1,,IMP DES CYCAS,0375,97434,97415,Saint-Paul,974,,,97415000EW1518,,,97,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.239574,-21.090997
