id_mutation.string(),date_mutation.date(2006-01-02),nature_mutation.string(),valeur_fonciere.double(),adresse_numero.int32(),adresse_nom_voie.string(),adresse_code_voie.string(),code_postal.int32(),code_commune.int32(),nom_commune.string(),code_departement.int32(),nombre_lots.int64(),type_local.string(),surface_reelle_bati.double(),nombre_pieces_principales.int32(),longitude.double(),latitude.double()
2021-1671626,2021-01-06,Vente,105000.0,10,RUE JUAN DE NOVA,0515,97419,97408,La Possession,974,1,Appartement,38.0,2,55.331551,-20.961685
2021-1671627,2021-01-07,Vente,245000.0,75,AV DE LA CROIX DU SUD,0425,97434,97415,Saint-Paul,974,1,Appartement,50.0,3,55.227879,-21.061122
2021-1671629,2021-01-11,Vente,50000.0,60,ALL DES TULIPES,1413,97490,97411,Saint-Denis,974,1,Appartement,31.0,2,55.485262,-20.916654
2021-1671630,2021-01-12,Vente,136000.0,308,RTE DE BOIS DE NEFLES,0211,97490,97411,Saint-Denis,974,1,Appartement,73.0,4,55.475043,-20.909421
2021-1671631,2021-01-13,Vente,104000.0,56,AV EUDOXIE NONGE,0516,97490,97411,Saint-Denis,974,1,Appartement,64.0,2,55.495226,-20.899
2021-1671633,2021-01-13,Vente,250343.0,18,IMP EMILE LEGROS,0948,97470,97410,Saint-Benoît,974,0,Maison,142.0,5,55.70308,-21.029143
2021-1671636,2021-01-07,Vente,78000.0,7,RUE SADI CARNOT,0410,97420,97407,Le Port,974,1,Appartement,45.0,2,55.293043,-20.936838
2021-1671637,2021-01-13,Vente,314500.0,59,LOT DU CAP NOIR,A030,97419,97408,La Possession,974,1,Maison,76.0,4,55.338696,-20.955735
2021-1671638,2021-01-14,Vente,99000.0,60,CHE DU PITON TRESOR,1115,97417,97411,Saint-Denis,974,1,Appartement,53.0,3,55.430845,-20.89621
2021-1671639,2021-01-14,Vente,157200.0,26,RUE DE L ABATTOIR,0010,97400,97411,Saint-Denis,974,1,Appartement,67.0,4,55.443835,-20.878704
2021-1671640,2021-01-15,Vente,30950.0,118,CHE DE BOIS ROUGE,0197,97490,97411,Saint-Denis,974,1,Appartement,24.0,1,55.486633,-20.923917
2021-1671641,2021-01-04,Vente,68000.0,66,BD SAINT FRANCOIS,1261,97400,97411,Saint-Denis,974,1,Appartement,28.0,1,55.461449,-20.899575
2021-1671642,2021-01-15,Vente,45000.0,55,BD SAINT FRANCOIS,1261,97400,97411,Saint-Denis,974,1,Appartement,23.0,1,55.461515,-20.897192
2021-1671643,2021-01-19,Vente,256800.0,141,ALL DES SPINELLES,1362,97400,97411,Saint-Denis,974,1,Appartement,74.0,3,55.447243,-20.900212
2021-1671644,2021-01-18,Vente,70000.0,69,RTE DE BOIS DE NEFLES,0211,97490,97411,Saint-Denis,974,1,Appartement,30.0,2,55.477289,-20.896817
2021-1671645,2021-01-11,Vente terrain à bâtir,335300.0,12,AV MAL DE LATTRE DE TASSIGNY,0838,97490,97411,Saint-Denis,974,0,Local industriel. commercial ou assimilé,273.0,0,55.473812,-20.888336
2021-1671645,2021-01-11,Vente terrain à bâtir,335300.0,12,AV MAL DE LATTRE DE TASSIGNY,0838,97490,97411,Saint-Denis,974,0,Local industriel. commercial ou assimilé,40.0,0,55.473812,-20.888336
2021-1671646,2021-01-18,Vente,154485.0,165,RUE LORY LES BAS,0783,97490,97411,Saint-Denis,974,1,Appartement,69.0,3,55.482201,-20.891645
2021-1671647,2021-01-18,Vente,49000.0,23,RUE DES JACINTHES,0634,97490,97411,Saint-Denis,974,1,Appartement,17.0,1,55.483971,-20.910698
2021-1671648,2021-01-19,Vente,45000.0,66,BD SAINT FRANCOIS,1261,97400,97411,Saint-Denis,974,1,Appartement,25.0,1,55.461449,-20.899575
2021-1671649,2021-01-07,Vente,65835.0,11,CITE PANON,A200,97460,97415,Saint-Paul,974,0,Maison,63.0,3,55.279517,-21.002253
2021-1671650,2021-01-20,Vente,241500.0,15,CHE DE TERRE ROUGE    LA MONTA,1411,97417,97411,Saint-Denis,974,0,Maison,76.0,4,55.418561,-20.89747
2021-1671651,2021-01-06,Vente,36000.0,118,CHE DE BOIS ROUGE,0197,97490,97411,Saint-Denis,974,1,Appartement,24.0,1,55.488994,-20.924369
2021-1671652,2021-01-07,Vente,51000.0,49,RUE LACROIX,0728,97490,97411,Saint-Denis,974,1,Appartement,23.0,2,55.482148,-20.899026
2021-1671653,2021-01-14,Vente,54000.0,26,RUE DE L ABATTOIR,0010,97400,97411,Saint-Denis,974,1,Appartement,23.0,1,55.443835,-20.878704
2021-1671654,2021-01-19,Vente,179200.0,396,RUE DE LA REPUBLIQUE,0430,97431,97406,La Plaine-des-Palmistes,974,0,Maison,95.0,5,55.61758,-21.146507
2021-1671655,2021-01-14,Vente,130000.0,15,RUE DES MANGUIERS,0820,97400,97411,Saint-Denis,974,1,Appartement,45.0,2,55.454194,-20.888516
2021-1671656,2021-01-08,Vente,200000.0,466,AV DE BOURBON,0310,97440,97409,Saint-André,974,0,Maison,70.0,3,55.648877,-20.964687
2021-1671657,2021-01-14,Vente,47000.0,105,RUE DE LA REPUBLIQUE,1180,97400,97411,Saint-Denis,974,1,Appartement,19.0,1,55.447404,-20.882569
2021-1671658,2021-01-14,Vente,314600.0,8,RUE DE LA GASCOGNE,0564,97490,97411,Saint-Denis,974,1,Appartement,156.0,5,55.489253,-20.905403
2021-1671659,2021-01-22,Vente,225000.0,2,RUE NOTRE DAME DE LA MONTAGNE,0933,97417,97411,Saint-Denis,974,0,Maison,87.0,4,55.430827,-20.888054
2021-1671660,2021-01-22,Vente,50000.0,11,CHE DU CANAL URBAIN,0331,97441,97420,Sainte-Suzanne,974,1,Appartement,37.0,2,55.605494,-20.903918
2021-1671661,2021-01-11,Vente,123000.0,2,RUE DES CARAMBOLES,0288,97490,97411,Saint-Denis,974,1,Appartement,68.0,4,55.478394,-20.893802
2021-1671662,2021-01-14,Vente,125000.0,15,SEN DU RUISSEAU,1229,97490,97411,Saint-Denis,974,1,Appartement,62.0,3,55.477813,-20.900928
2021-1671663,2021-01-25,Vente,320000.0,43,RTE DE MOUFIA,0976,97490,97411,Saint-Denis,974,2,Local industriel. commercial ou assimilé,166.0,0,55.492193,-20.899734
2021-1671664,2021-01-14,Vente,480000.0,44,RUE ROLAND GARROS,1190,97400,97411,Saint-Denis,974,0,Local industriel. commercial ou assimilé,48.0,0,55.45084,-20.882974
2021-1671664,2021-01-14,Vente,480000.0,44,RUE ROLAND GARROS,1190,97400,97411,Saint-Denis,974,0,Local industriel. commercial ou assimilé,120.0,0,55.45084,-20.882974
2021-1671665,2021-01-18,Vente,71100.0,6,ALL DES TOPAZES,1397,97400,97411,Saint-Denis,974,1,Appartement,29.0,1,55.443596,-20.894122
2021-1671666,2021-01-26,Vente,82000.0,66,BD SAINT FRANCOIS,1261,97400,97411,Saint-Denis,974,1,Appartement,48.0,2,55.461449,-20.899575
2021-1671667,2021-01-14,Vente,75000.0,17,RUE FRANCOIS DE MAHY,0210,97420,97407,Le Port,974,1,Appartement,63.0,2,55.290261,-20.937434
2021-1671668,2021-01-20,Vente,205011.0,42,RUE ROSES DES BOIS MONTGAILLAR,1217,97400,97411,Saint-Denis,974,0,Maison,101.0,5,55.466593,-20.910145
2021-1671669,2021-01-22,Vente,104275.0,18,AV STANISLAS GIMART,1367,97490,97411,Saint-Denis,974,1,Appartement,77.0,4,55.475113,-20.893167
2021-1671671,2021-01-18,Vente,46500.0,22,ALL FRANZ KAFKA,0693,97420,97407,Le Port,974,1,Appartement,25.0,1,55.28796,-20.947808
2021-1671672,2021-01-06,Vente,30940.0,56,AV MONSEIGNEUR ROMERO,0945,97420,97407,Le Port,974,1,Maison,25.0,1,55.297148,-20.946724
2021-1671672,2021-01-06,Vente,30940.0,56,AV MONSEIGNEUR ROMERO,0945,97420,97407,Le Port,974,1,Maison,74.0,5,55.297148,-20.946724
2021-1671673,2021-01-22,Vente,429900.0,139,CHE MACE,0936,97411,97415,Saint-Paul,974,0,Maison,95.0,4,55.318809,-20.998191
2021-1671673,2021-01-22,Vente,429900.0,139,CHE MACE,0936,97411,97415,Saint-Paul,974,0,Appartement,81.0,4,55.318809,-20.998191
2021-1671673,2021-01-22,Vente,429900.0,139,CHE MACE,0936,97411,97415,Saint-Paul,974,0,Appartement,85.0,3,55.318809,-20.998191
2021-1671676,2021-01-27,Vente,57000.0,215,BD JEAN  JAURES,0692,97490,97411,Saint-Denis,974,1,Appartement,23.0,1,55.478972,-20.898884
2021-1671678,2021-01-27,Vente,293194.0,1,RUE DES GREVILEAS,0161,97438,97418,Sainte-Marie,974,0,Maison,75.0,4,55.508413,-20.910206
2021-1671679,2021-01-06,Vente,138000.0,59,RUE BERTIN,0180,97400,97411,Saint-Denis,974,1,Appartement,54.0,2,55.452928,-20.887847
2021-1671680,2021-01-07,Vente,220000.0,72,AV DE LA CROIX DU SUD,0425,97434,97415,Saint-Paul,974,1,Appartement,43.0,2,55.229062,-21.061821
2021-1671681,2021-01-22,Vente,120000.0,19,AV MAHATMA GANDHI,0696,97441,97420,Sainte-Suzanne,974,1,Appartement,65.0,4,55.633329,-20.926069
2021-1671682,2021-01-05,Vente,138000.0,9,ALL WATANABE KAZAN,0473,97420,97407,Le Port,974,1,Appartement,44.0,3,55.289181,-20.948182
2021-1671683,2021-01-06,Vente,130000.0,18,IMP MAURICE KRIEGEL VALRIMONT,0516,97419,97408,La Possession,974,1,Appartement,54.0,3,55.333306,-20.963167
2021-1671684,2021-01-08,Vente,145000.0,79,AV DE LA CROIX DU SUD,0425,97434,97415,Saint-Paul,974,1,Local industriel. commercial ou assimilé,38.0,0,55.228655,-21.061391
2021-1671684,2021-01-08,Vente,145000.0,79,AV DE LA CROIX DU SUD,0425,97434,97415,Saint-Paul,974,1,Local industriel. commercial ou assimilé,14.0,0,55.228655,-21.061391
2021-1671685,2021-01-04,Vente,125000.0,118,RUE ROLAND GARROS,1190,97400,97411,Saint-Denis,974,1,Appartement,36.0,2,55.458035,-20.882039
2021-1671686,2021-01-14,Vente,123000.0,1,CHE DE LA FERME AVICOLE,0194,97419,97408,La Possession,974,1,Appartement,68.0,3,55.369732,-20.924589
2021-1671688,2021-01-28,Vente,48000.0,5,RUE JEAN COCTEAU,0651,97490,97411,Saint-Denis,974,1,Appartement,19.0,1,55.467639,-20.885718
2021-1671689,2021-01-12,Vente,725000.0,54,BD LECONTE DE LISLE,0898,97434,97415,Saint-Paul,974,0,Maison,123.0,7,55.224606,-21.080527
2021-1671690,2021-01-15,Vente,30000.0,544,RTE DEPARTEMENTALE 48,0431,97433,97421,Salazie,974,0,Maison,54.0,3,55.528883,-21.04883
2021-1671691,2021-01-08,Vente,218500.0,36,RTE HUBERT DE LISLE   (BDN),0759,97411,97415,Saint-Paul,974,0,Maison,59.0,3,55.320173,-21.011382
2021-1671692,2021-01-12,Vente,295000.0,134,RLE CAMALON,0370,97440,97409,Saint-André,974,0,Maison,111.0,4,55.668041,-20.945022
2021-1671693,2021-01-22,Vente,335000.0,6,RUE CONSTELLATION,0233,97438,97418,Sainte-Marie,974,0,Maison,109.0,5,55.521277,-20.907283
2021-1671694,2021-01-08,Vente en l'état futur d'achèvement,179000.0,22,RUE DU BOIS DE NEFLES,0190,97400,97411,Saint-Denis,974,1,Appartement,43.0,2,55.457783,-20.88885
2021-1671695,2021-01-08,Vente,285000.0,14,ALL DES TOPAZES,1397,97400,97411,Saint-Denis,974,1,Appartement,59.0,3,55.444476,-20.894508
2021-1671696,2021-01-07,Vente,240000.0,1,RUE DE TANZANIE,0487,97419,97408,La Possession,974,0,Maison,88.0,4,55.330577,-20.946129
2021-1671699,2021-01-07,Vente,57000.0,17,RUE PITEL,1113,97490,97411,Saint-Denis,974,1,Appartement,34.0,1,55.477905,-20.891429
2021-1671700,2021-01-08,Vente en l'état futur d'achèvement,175000.0,22,RUE DU BOIS DE NEFLES,0190,97400,97411,Saint-Denis,974,1,Appartement,44.0,2,55.457783,-20.88885
2021-1671701,2021-01-08,Vente en l'état futur d'achèvement,272000.0,43,RUE DES ECOLES (ST GILLES HTS),0480,97435,97415,Saint-Paul,974,1,Appartement,59.0,3,55.271248,-21.049382
2021-1671702,2021-01-11,Vente en l'état futur d'achèvement,209000.0,43,RUE DES ECOLES (ST GILLES HTS),0480,97435,97415,Saint-Paul,974,1,Appartement,40.0,2,55.271248,-21.049382
2021-1671704,2021-01-15,Vente,220000.0,8,RUE DE LA DIGUE,0434,97441,97420,Sainte-Suzanne,974,0,Maison,85.0,3,55.611692,-20.908821
2021-1671705,2021-01-29,Vente,572000.0,33,CHE BAILLY,0133,97417,97411,Saint-Denis,974,1,Maison,198.0,7,55.421561,-20.888187
2021-1671706,2021-01-08,Vente,390000.0,50,RUE ALEXANDRE DUMAS,0002,97419,97408,La Possession,974,0,Maison,118.0,4,55.344428,-20.954851
2021-1671707,2021-01-11,Vente,93000.0,26,RUE DES ANEMONES,0089,97490,97411,Saint-Denis,974,1,Appartement,44.0,2,55.483274,-20.91215
2021-1671708,2021-01-29,Vente,171000.0,7,LOT DES PAMPLEMOUSSES,A308,97490,97411,Saint-Denis,974,0,Maison,65.0,2,55.494094,-20.926895
2021-1671709,2021-01-07,Vente,483000.0,3,RUE DES CORAUX,0404,97434,97415,Saint-Paul,974,0,Maison,95.0,4,55.241849,-21.098026
2021-1671710,2021-01-29,Vente,75000.0,11,CHE DU CANAL URBAIN,0331,97441,97420,Sainte-Suzanne,974,1,Appartement,47.0,2,55.605494,-20.903918
2021-1671712,2021-01-06,Vente,1200000.0,11,AV DES LETCHIS,0905,97434,97415,Saint-Paul,974,0,Maison,192.0,5,55.225508,-21.078996
2021-1671714,2021-01-13,Vente,250000.0,143,RUE LOUIS LAGOURGUE,0180,97438,97418,Sainte-Marie,974,1,Appartement,105.0,4,55.522057,-20.907762
2021-1671715,2021-01-29,Vente,216550.0,39,BD DE LA PROVIDENCE,1160,97400,97411,Saint-Denis,974,1,Local industriel. commercial ou assimilé,111.0,0,55.457457,-20.894321
2021-1671716,2021-01-21,Vente,178000.0,45,CHE COMMINS,0359,97417,97411,Saint-Denis,974,1,Appartement,62.0,3,55.407471,-20.890758
2021-1671717,2021-01-08,Vente,108000.0,8,RUE GASTON  DEFFERRE,0688,97490,97411,Saint-Denis,974,1,Appartement,73.0,4,55.481413,-20.900616
2021-1671718,2021-02-01,Vente,57000.0,55,BD SAINT FRANCOIS,1261,97400,97411,Saint-Denis,974,1,Appartement,24.0,1,55.461515,-20.897192
2021-1671720,2021-01-29,Vente,34320.0,4,RUE GASTON  DEFFERRE,0688,97490,97411,Saint-Denis,974,1,Appartement,25.0,2,55.481413,-20.900616
2021-1671721,2021-01-18,Vente,207000.0,41,RUE DU 20 DECEMBRE 1848,0392,97419,97408,La Possession,974,1,Appartement,98.0,4,55.340023,-20.926239
2021-1671722,2021-01-13,Vente,126000.0,26,RUE DE LA BOURGOGNE,0226,97490,97411,Saint-Denis,974,1,Appartement,44.0,2,55.486029,-20.907274
2021-1671723,2021-01-21,Vente,200000.0,128,ALL DES TOPAZES,1397,97400,97411,Saint-Denis,974,1,Appartement,60.0,3,55.443324,-20.898746
2021-1671724,2021-01-20,Vente,265000.0,14,RUE AMBRE,0376,97438,97418,Sainte-Marie,974,0,Maison,83.0,4,55.565226,-20.896795
2021-1671725,2021-02-01,Vente,365385.0,3,ALL DU SAINT LAURENT,1281,97417,97411,Saint-Denis,974,0,Maison,129.0,6,55.419665,-20.88846
2021-1671726,2021-01-29,Vente,225000.0,4,RUE AVE MARIA  (GRANDE MONTEE),0186,97438,97418,Sainte-Marie,974,0,Maison,100.0,4,55.51663,-20.917501
2021-1671727,2021-01-18,Vente,205000.0,89,CHE CELESTIN,0287,97435,97415,Saint-Paul,974,0,Maison,45.0,3,55.306982,-21.061025
2021-1671728,2021-02-01,Vente,47000.0,9,RUE DE L ANJOU,0094,97490,97411,Saint-Denis,974,1,Appartement,22.0,1,55.489856,-20.901885
2021-1671731,2021-01-05,Vente,154000.0,71,RUE ISSOP RAVATE,1557,97400,97411,Saint-Denis,974,1,Appartement,69.0,3,55.455947,-20.879203
2021-1671732,2021-01-08,Vente,278500.0,130,RTE DE SAINT FRANCOIS,1316,97400,97411,Saint-Denis,974,0,Maison,129.0,5,55.458957,-20.916476
